Transaction Date,Post Date,Description,Category,Type,Amount,Memo,12,,Year
10/12/2025,10/13/2025,BP#7719198MARSHALL BP,Gas,Sale,-1.2,,,,2025
10/12/2025,10/13/2025,SQ *RED FOX CREAMERY,Food & Drink,Sale,-4.4,,,,2025
10/12/2025,10/13/2025,LABCORP8008456167,Health & Wellness,Sale,-33.18,,,,2025
10/12/2025,10/13/2025,SP FALLING BARK FARM,Groceries,Sale,-10.1,,,,2025
10/12/2025,10/13/2025,SQ *TRUFFLE QUEEN,Food & Drink,Sale,-10.5,,,,2025
10/12/2025,10/13/2025,SQ *BOB'S BIG BEEF CATERI,Food & Drink,Sale,-9.81,,,,2025
10/12/2025,10/13/2025,AMAZON MKTPL*NF9XC8IX1,Shopping,Sale,-32.4,,,,2025
10/12/2025,10/12/2025,AMAZON MKTPL*NM3MZ7NO0,Shopping,Sale,-49.81,,,,2025
10/11/2025,10/13/2025,HECTORS OF NOKESVILLE,Food & Drink,Sale,-36.8,,,,2025
10/11/2025,10/12/2025,REGAL CINEMAS INC,Entertainment,Sale,-52.98,,,,2025
10/11/2025,10/12/2025,CHEDDAR'S ZK 0202190,Food & Drink,Sale,-46.81,,,,2025
10/10/2025,10/12/2025,HARRIS TEETER #303,Groceries,Sale,-97,,,,2025
10/10/2025,10/12/2025,OPENAI,Shopping,Sale,-10,,,,2025
10/10/2025,10/12/2025,WALGREENS #13989,Health & Wellness,Sale,-35.05,,,,2025
10/10/2025,10/12/2025,7-ELEVEN 30484,Gas,Sale,-37.01,,,,2025
10/9/2025,10/12/2025,7-11 STORE 40049,Automotive,Sale,-14,,,,2025
10/9/2025,10/10/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/9/2025,10/10/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/9/2025,10/10/2025,PANERA BREAD #600939 P,Food & Drink,Sale,-13.63,,,,2025
10/9/2025,10/10/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.71,,,,2025
10/8/2025,10/09/2025,SI NAT AIR &amp; SPACE MUSEU,Travel,Sale,-15,,,,2025
10/8/2025,10/09/2025,PY *Frontline Pest Contro,Home,Sale,-61,,,,2025
10/7/2025,10/08/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/7/2025,10/08/2025,AMAZON MKTPL*NV7GT8MB2,Shopping,Sale,-37.25,,,,2025
10/7/2025,10/08/2025,WEGMANS #42,Groceries,Sale,-27.27,,,,2025
10/7/2025,10/08/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-98.57,,,,2025
10/7/2025,10/08/2025,HARRIS TEETER #0313,Groceries,Sale,-6.06,,,,2025
10/7/2025,10/08/2025,MARATHON 18051,Gas,Sale,-54.89,,,,2025
10/7/2025,10/07/2025,CITY OF MANASSAS,Bills & Utilities,Sale,-1030.59,,,,2025
10/7/2025,10/07/2025,ICI*FEE MNASAS WEB PMT,Bills & Utilities,Sale,-30.4,,,,2025
10/6/2025,10/08/2025,MOUNT VERNON GIFT SHOP,Shopping,Sale,-39.17,,,,2025
10/6/2025,10/07/2025,GEORGE WASHINGTONS MOU,Food & Drink,Sale,-84.42,,,,2025
10/6/2025,10/07/2025,Mount Vernon,Gifts & Donations,Sale,-56,,,,2025
10/5/2025,10/06/2025,HARRIS TEETER #303,Groceries,Sale,-81.96,,,,2025
10/5/2025,10/06/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-73.82,,,,2025
10/5/2025,10/06/2025,HARRIS TEETER #303,Groceries,Sale,-3.02,,,,2025
10/5/2025,10/07/2025,7-ELEVEN 32976,Gas,Sale,-35.35,,,,2025
10/4/2025,10/06/2025,FOOD FOR THOUGHT,Food & Drink,Sale,-80.65,,,,2025
10/4/2025,10/05/2025,UBER   *TRIP,Travel,Sale,-16.98,,,,2025
10/4/2025,10/05/2025,BUBBAS ICE CREAM SHAC,Shopping,Sale,-11.85,,,,2025
10/3/2025,10/05/2025,GOLDEN CORRAL 800,Food & Drink,Sale,-41.05,,,,2025
10/3/2025,10/05/2025,AMK CW WILLIAM PITT,Shopping,Sale,-23,,,,2025
10/3/2025,10/05/2025,AMK CW MARKET HOUSE,Shopping,Sale,-6,,,,2025
10/3/2025,10/05/2025,Colonial Williamsburg Fou,Travel,Sale,-10.35,,,,2025
10/2/2025,10/05/2025,FOOD FOR THOUGHT,Food & Drink,Sale,-64.22,,,,2025
10/2/2025,10/03/2025,WILLIAMSBURG GENERAL S,Shopping,Sale,-23.53,,,,2025
10/2/2025,10/03/2025,BUBBAS ICE CREAM SHAC,Shopping,Sale,-14.09,,,,2025
10/2/2025,10/03/2025,CVS/PHARMACY #01550,Health & Wellness,Sale,-22.79,,,,2025
10/2/2025,10/03/2025,MAMA STEVES HOUSE OF PAN,Food & Drink,Sale,-16.11,,,,2025
10/1/2025,10/03/2025,PARKING FEES,Travel,Sale,-10,,,,2025
10/1/2025,10/03/2025,BANGKOK GARDEN,Food & Drink,Sale,-54.38,,,,2025
10/1/2025,10/02/2025,BUBBAS ICE CREAM SHAC,Shopping,Sale,-7.04,,,,2025
10/1/2025,10/02/2025,ADT SECURITY*403437551,Bills & Utilities,Sale,-58.99,,,,2025
10/1/2025,10/02/2025,AMAZON MKTPL*NJ22H3VZ2,Shopping,Sale,-50.87,,,,2025
10/1/2025,10/02/2025,DIGITALOCEAN.COM,Shopping,Sale,-6,,,,2025
10/1/2025,10/02/2025,CVS/PHARMACY #01550,Health & Wellness,Sale,-27.97,,,,2025
10/1/2025,10/02/2025,Amazon.com*NJ0UE75C2,Shopping,Sale,-6.67,,,,2025
10/1/2025,10/01/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,,,,2025
9/30/2025,10/02/2025,PARKING FEES,Travel,Sale,-10,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ97O96E1,Shopping,Sale,-10.95,,,,2025
9/30/2025,10/01/2025,SQ *SAUCY'S SIT-DOWN BAR.,Food & Drink,Sale,-53.93,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ81W46R1,Shopping,Sale,-8.9,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ1NK26X1,Shopping,Sale,-19.82,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ4BP81L2,Shopping,Sale,-24.86,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ1YU2631,Shopping,Sale,-9.81,,,,2025
9/30/2025,10/01/2025,Amazon.com*NJ3EO2601,Shopping,Sale,-33.31,,,,2025
9/30/2025,10/01/2025,SQ *TRUEVA CORP,Shopping,Sale,-35,,,,2025
9/30/2025,09/30/2025,TST* PARIS BAGUETTE - MAN,Food & Drink,Sale,-8.01,,,,2025
9/29/2025,10/01/2025,WENDY'S POTTERY,Food & Drink,Sale,-11.09,,,,2025
9/29/2025,09/30/2025,HARRIS TEETER #356,Groceries,Sale,-40,,,,2025
9/29/2025,09/30/2025,BP#1614700KIMS CLUB BP,Gas,Sale,-32.49,,,,2025
9/29/2025,09/30/2025,TPC*PROACTIV,Bills & Utilities,Sale,-83.82,,,,2025
9/29/2025,09/30/2025,WALGREENS #13989,Health & Wellness,Sale,-46.39,,,,2025
9/29/2025,09/30/2025,WALGREENS #9975,Health & Wellness,Sale,-9.62,,,,2025
9/29/2025,09/30/2025,FOOD LION #0196,Groceries,Sale,-12.56,,,,2025
9/28/2025,09/30/2025,IAD DULLES HOURLY 58,Travel,Sale,-14,,,,2025
9/28/2025,09/29/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-97.47,,,,2025
9/27/2025,09/29/2025,CLARK BROTHERS,Shopping,Sale,-583.13,,,,2025
9/27/2025,09/29/2025,HECTORS OF NOKESVILLE,Food & Drink,Sale,-45.4,,,,2025
9/27/2025,09/28/2025,TST*HOG SHACK BBQ2,Food & Drink,Sale,-13.25,,,,2025
9/26/2025,09/28/2025,HABIT CHANTILLY #203,Food & Drink,Sale,-39.6,,,,2025
9/26/2025,09/28/2025,WALGREENS #13989,Health & Wellness,Sale,-11.63,,,,2025
9/26/2025,09/28/2025,Amazon.com*NJ3B21DI0,Shopping,Sale,-16.18,,,,2025
9/26/2025,09/28/2025,HARRIS TEETER #303,Groceries,Sale,-110,,,,2025
9/25/2025,09/26/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.21,,,,2025
9/25/2025,09/26/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-65.38,,,,2025
9/25/2025,09/26/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/25/2025,09/26/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,,,,2025
9/25/2025,09/26/2025,7-ELEVEN 26074,Gas,Sale,-37.19,,,,2025
9/24/2025,09/26/2025,CHUY'S 068,Food & Drink,Sale,-24,,,,2025
9/24/2025,09/25/2025,VIOC BA4201,Automotive,Sale,-193.62,,,,2025
9/24/2025,09/25/2025,Amazon.com*C98W037W3,Shopping,Sale,-8,,,,2025
9/24/2025,09/25/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-37.09,,,,2025
9/24/2025,09/24/2025,Payment Thank You Bill Pa,,Payment,6455.45,,,,2025
9/24/2025,09/24/2025,Venchi Tysons Corner LLC,Food & Drink,Sale,-25,,,,2025
9/23/2025,09/25/2025,HOBBY-LOBBY #808,Shopping,Sale,-15.54,,,,2025
9/23/2025,09/25/2025,SEASONS 52 0074515,Food & Drink,Sale,-101.12,,,,2025
9/23/2025,09/24/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.21,,,,2025
9/23/2025,09/24/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/23/2025,09/24/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/22/2025,09/24/2025,BANNERS HALLMARK 32,Shopping,Sale,-25.41,,,,2025
9/22/2025,09/23/2025,COLD STONE CREAMERY,Food & Drink,Sale,-16.48,,,,2025
9/22/2025,09/23/2025,GOSSIP NAILS SPA,Personal,Sale,-38,,,,2025
9/22/2025,09/23/2025,TST* METRO DINER - FREDER,Food & Drink,Sale,-33.02,,,,2025
9/22/2025,09/23/2025,AMAZON MKTPL*NS8GV14G1,Shopping,Sale,-14.73,,,,2025
9/22/2025,09/23/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-22.25,,,,2025
9/21/2025,09/25/2025,7-ELEVEN 32976,Gas,Sale,-38.21,,,,2025
9/21/2025,09/23/2025,STAPLES       00116475,Shopping,Sale,-8.76,,,,2025
9/21/2025,09/22/2025,SSG TACTICAL,Shopping,Sale,-742.09,,,,2025
9/21/2025,09/22/2025,WALGREENS #13989,Health & Wellness,Sale,-15.21,,,,2025
9/21/2025,09/22/2025,VCN*VIRGINIASCC,Bills & Utilities,Sale,-50,,,,2025
9/20/2025,09/21/2025,FIVE GUYS  4097 QSR,Food & Drink,Sale,-34.46,,,,2025
9/20/2025,09/21/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-44.21,,,,2025
9/20/2025,09/21/2025,HARRIS TEETER #303,Groceries,Sale,-59.35,,,,2025
9/20/2025,09/21/2025,TRACTOR-SUPPLY-CO #0433,Automotive,Sale,-24.02,,,,2025
9/19/2025,09/19/2025,VERIZON*RECURRING PAY,Bills & Utilities,Sale,-224.83,,,,2025
9/19/2025,09/21/2025,5GUYS 4002 QSR,Food & Drink,Sale,-25.82,,,,2025
9/19/2025,09/21/2025,THE HOME DEPOT #4648,Home,Sale,-24,,,,2025
9/19/2025,09/21/2025,FAMILY DOLLAR,Shopping,Sale,-5.94,,,,2025
9/19/2025,09/21/2025,CKE*LENNY'S RESTAURANT CO,Food & Drink,Sale,-19.81,,,,2025
9/18/2025,09/21/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/18/2025,09/21/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.35,,,,2025
9/18/2025,09/21/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/17/2025,09/18/2025,DOLLAR GENERAL #10646,Shopping,Sale,-6.48,,,,2025
9/17/2025,09/18/2025,CKE*LENNY'S RESTAURANT CO,Food & Drink,Sale,-23.16,,,,2025
9/16/2025,09/17/2025,TST*BUFFALO WING FACTORY,Food & Drink,Sale,-64.16,,,,2025
9/15/2025,09/16/2025,GOSSIP NAILS SPA,Personal,Sale,-40,,,,2025
9/15/2025,09/16/2025,HARRIS TEETER #0313,Groceries,Sale,-13.77,,,,2025
9/15/2025,09/16/2025,HARRIS TEETER #0313,Groceries,Sale,-7,,,,2025
9/14/2025,09/15/2025,TONY'S NY PIZZA,Food & Drink,Sale,-26.9,,,,2025
9/14/2025,09/14/2025,VZWRLSS*APOCC VISE,Bills & Utilities,Sale,-252.18,,,,2025
9/13/2025,09/15/2025,TST*MILLIES GELATO,Food & Drink,Sale,-13.1,,,,2025
9/13/2025,09/15/2025,CHEDDAR'S ZK 0202190,Food & Drink,Sale,-59.1,,,,2025
9/13/2025,09/15/2025,7-ELEVEN 29104,Gas,Sale,-35.67,,,,2025
9/13/2025,09/14/2025,BOOKS A MILLION 378,Shopping,Sale,-58.93,,,,2025
9/13/2025,09/14/2025,RITA'S # 1521,Food & Drink,Sale,-6.04,,,,2025
9/13/2025,09/14/2025,Hair Cuttery 4116,Personal,Sale,-36,,,,2025
9/13/2025,09/14/2025,SQ *RACHEL DUNN JEWELRY,Personal,Sale,-41.07,,,,2025
9/13/2025,09/14/2025,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,-135.22,,,,2025
9/12/2025,09/14/2025,5GUYS 4002 QSR,Food & Drink,Sale,-39.56,,,,2025
9/12/2025,09/14/2025,HARRIS TEETER #303,Groceries,Sale,-84.83,,,,2025
9/12/2025,09/14/2025,CLARK BROTHERS,Shopping,Sale,-655.92,,,,2025
9/12/2025,09/14/2025,HARRIS TEETER #303,Groceries,Sale,-25,,,,2025
9/12/2025,09/12/2025,TICKETSTOBUY  LLC,Entertainment,Sale,-106,,,,2025
9/11/2025,09/14/2025,THE HOME DEPOT #4648,Home,Sale,-21.18,,,,2025
9/11/2025,09/14/2025,DOMINION ARMS LLC,Shopping,Sale,-27,,,,2025
9/11/2025,09/14/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/11/2025,09/14/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/11/2025,09/12/2025,DNH*GODADDY#3887486486,Bills & Utilities,Sale,-293.94,,,,2025
9/11/2025,09/12/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-57.03,,,,2025
9/10/2025,09/12/2025,KOHL'S #0326,Shopping,Return,12.71,,,,2025
9/10/2025,09/11/2025,Amazon.com,Shopping,Return,14.83,,,,2025
9/10/2025,09/11/2025,BP#4843108GODWIN BP,Gas,Sale,-31.1,,,,2025
9/10/2025,09/11/2025,HARRIS TEETER #303,Groceries,Sale,-31.96,,,,2025
9/9/2025,09/11/2025,HOMEGOODS #407,Shopping,Return,18.01,,,,2025
9/9/2025,09/11/2025,SALLY BEAUTY 10812,Shopping,Sale,-24.65,,,,2025
9/9/2025,09/10/2025,HOMEGOODS #407,Shopping,Sale,-30.72,,,,2025
9/9/2025,09/09/2025,Amazon.com*MU3U31FP3,Shopping,Sale,-42.39,,,,2025
9/8/2025,09/10/2025,BANNERS HALLMARK 32,Shopping,Sale,-7.94,,,,2025
9/8/2025,09/09/2025,TJ MAXX #1116,Shopping,Sale,-22.24,,,,2025
9/8/2025,09/09/2025,PY *Frontline Pest Contro,Home,Sale,-61,,,,2025
9/8/2025,09/09/2025,SHELLSHOCKP,Shopping,Sale,-101.8,,,,2025
9/8/2025,09/09/2025,TJ MAXX #1116,Shopping,Sale,-59.36,,,,2025
9/8/2025,09/09/2025,HOMEGOODS #407,Shopping,Sale,-28.6,,,,2025
9/8/2025,09/09/2025,TST* EAST COAST WINGS - M,Food & Drink,Sale,-37.04,,,,2025
9/7/2025,09/08/2025,WEST PLAINS PAWN AND FINE,Collectibles,Sale,-1378.24,,,,2025
9/6/2025,09/08/2025,BANNERS HALLMARK 1938,Shopping,Sale,-10.6,,,,2025
9/6/2025,09/08/2025,OSAKA JAPANESE STEAKHOUSE,Food & Drink,Sale,-84.11,,,,2025
9/6/2025,09/07/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-31.37,,,,2025
9/6/2025,09/07/2025,RITA'S # 1521,Food & Drink,Sale,-14.61,,,,2025
9/6/2025,09/07/2025,AMAZON MKTPL*4Y1ED24R3,Shopping,Sale,-20.71,,,,2025
9/5/2025,09/07/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-8.13,,,,2025
9/5/2025,09/07/2025,GIANT FOOD INC #227,Groceries,Sale,-6.59,,,,2025
9/5/2025,09/07/2025,AMAZON MKTPL*UM5U76P43,Shopping,Sale,-5.29,,,,2025
9/5/2025,09/07/2025,HARRIS TEETER #303,Groceries,Sale,-182.88,,,,2025
9/5/2025,09/07/2025,WALGREENS #13989,Health & Wellness,Sale,-15.7,,,,2025
9/4/2025,09/05/2025,KOHL'S #0326,Shopping,Sale,-9.11,,,,2025
9/4/2025,09/05/2025,AMAZON MKTPL*E93HQ9KO3,Shopping,Sale,-37.09,,,,2025
9/4/2025,09/05/2025,Amazon.com*UW32N0AC3,Shopping,Sale,-8.45,,,,2025
9/4/2025,09/05/2025,TST* ZANDRA'S - MANASSAS,Food & Drink,Sale,-65.22,,,,2025
9/4/2025,09/05/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.21,,,,2025
9/4/2025,09/05/2025,WALGREENS #13989,Health & Wellness,Sale,-12.09,,,,2025
9/4/2025,09/05/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/4/2025,09/05/2025,Amazon.com*NX59V4JA3,Shopping,Sale,-14.83,,,,2025
9/4/2025,09/05/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
9/3/2025,09/05/2025,CAFE RIO 0043 MANASSAS,Food & Drink,Sale,-33.08,,,,2025
9/3/2025,09/04/2025,WAWA 8658,Gas,Sale,-35.18,,,,2025
9/2/2025,09/05/2025,Offer:Marathon Fuel,Fees & Adjustments,Adjustment,1.32,,,,2025
9/2/2025,09/03/2025,MARATHON PETRO205930,Gas,Sale,-44.05,,,,2025
9/2/2025,09/03/2025,MAMA MIA PIZZA,Food & Drink,Sale,-36.89,,,,2025
9/2/2025,09/03/2025,MCDONALD'S F33743,Food & Drink,Sale,-10.9,,,,2025
9/1/2025,09/02/2025,Amazon.com*RQ9BY7ZN3,Shopping,Sale,-7.42,,,,2025
9/1/2025,09/02/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-16.25,,,,2025
9/1/2025,09/02/2025,Amazon.com*IP6DD7PW3,Shopping,Sale,-9.9,,,,2025
9/1/2025,09/02/2025,ADT SECURITY*403437551,Bills & Utilities,Sale,-58.99,,,,2025
9/1/2025,09/02/2025,Amazon.com*KI0PJ4AS3,Shopping,Sale,-9.81,,,,2025
9/1/2025,09/02/2025,MCDONALD'S F3564,Food & Drink,Sale,-10.09,,,,2025
9/1/2025,09/02/2025,HARRIS TEETER #303,Groceries,Sale,-18.86,,,,2025
9/1/2025,09/02/2025,URANUS FUDGE FACTORY,Food & Drink,Sale,-17.77,,,,2025
9/1/2025,09/02/2025,AMAZON MKTPL*CI79V10U3,Shopping,Sale,-30.78,,,,2025
9/1/2025,09/02/2025,Amazon.com*9Y6X33LF3,Shopping,Sale,-12.09,,,,2025
9/1/2025,09/02/2025,Amazon.com*LZ0Y89GT3,Shopping,Sale,-18.71,,,,2025
9/1/2025,09/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-6,,,,2025
9/1/2025,09/01/2025,BM * WUS GARDEN,Food & Drink,Sale,-42,,,,2025
8/31/2025,09/01/2025,OZARKLAND CA,Shopping,Sale,-14.06,,,,2025
8/31/2025,09/01/2025,OLD REPUBLIC HOME PROTECT,Home,Sale,-110,,,,2025
8/30/2025,09/01/2025,THE HOME DEPOT #4648,Home,Sale,-10.58,,,,2025
8/30/2025,08/31/2025,TONY'S NY PIZZA,Food & Drink,Sale,-18.1,,,,2025
8/30/2025,08/31/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,,,,2025
8/29/2025,09/01/2025,OZARK COOKIE COMPANY,Food & Drink,Sale,-6.46,,,,2025
8/29/2025,08/31/2025,SP EVERGREEN OSAGE BEA,Home,Sale,-25.19,,,,2025
8/29/2025,08/31/2025,SQ *UNIQUE FINDS TOO,Home,Sale,-9.38,,,,2025
8/29/2025,08/31/2025,CAB STORE GAINESVILLE  V,Shopping,Sale,-45.37,,,,2025
8/29/2025,08/31/2025,CHICK-FIL-A #02233,Food & Drink,Sale,-20.61,,,,2025
8/29/2025,08/31/2025,MENARDS LAKE OZARK MO,Home,Sale,-25.51,,,,2025
8/28/2025,08/31/2025,CAFE RIO 0043 MANASSAS,Food & Drink,Sale,-13.96,,,,2025
8/28/2025,08/29/2025,GIANT FOOD INC #227,Groceries,Sale,-12.71,,,,2025
8/28/2025,08/29/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-28.61,,,,2025
8/28/2025,08/29/2025,PHILLIPS 66 - PHILLIPS,Gas,Sale,-30.85,,,,2025
8/28/2025,08/29/2025,MARATHON PETRO273433,Gas,Sale,-43.76,,,,2025
8/28/2025,08/29/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
8/28/2025,08/29/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
8/27/2025,08/29/2025,5GUYS 4002 QSR,Food & Drink,Sale,-23.29,,,,2025
8/26/2025,08/28/2025,BANNERS HALLMARK 1938,Shopping,Sale,-3.18,,,,2025
8/26/2025,08/27/2025,SQ *SWIRLIE'S SOFT SERVE,Food & Drink,Sale,-20.16,,,,2025
8/26/2025,08/27/2025,BP#4843108GODWIN BP,Gas,Sale,-31.29,,,,2025
8/26/2025,08/27/2025,WALGREENS #11234,Health & Wellness,Sale,-18.51,,,,2025
8/26/2025,08/27/2025,LOWES #00397*,Home,Sale,-7.89,,,,2025
8/26/2025,08/27/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-17.8,,,,2025
8/26/2025,08/27/2025,KOHL'S #0326,Shopping,Sale,-12.71,,,,2025
8/25/2025,08/26/2025,TST* VELOCITY WINGS - MAN,Food & Drink,Sale,-55.85,,,,2025
8/25/2025,08/26/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,,,,2025
8/25/2025,08/26/2025,HOMEGOODS #407,Shopping,Sale,-37.09,,,,2025
8/25/2025,08/26/2025,USPS PO 5111220006,Shopping,Sale,-6.08,,,,2025
8/24/2025,08/26/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-6.36,,,,2025
8/24/2025,08/26/2025,CHEDDAR'S 0202190,Food & Drink,Sale,-54.92,,,,2025
8/24/2025,08/25/2025,FREDERICKSBURG PARKS &amp;,Bills & Utilities,Sale,-15,,,,2025
8/23/2025,08/25/2025,TST*THE ALL AMERICAN STE,Food & Drink,Sale,-77.34,,,,2025
8/23/2025,08/24/2025,Amazon.com*M58JI1173,Shopping,Sale,-8.47,,,,2025
8/23/2025,08/24/2025,AMAZON MKTPL*NA6DG57W3,Shopping,Sale,-26.85,,,,2025
8/23/2025,08/24/2025,AMAZON MKTPL*NG77G77W3,Shopping,Sale,-16.95,,,,2025
8/22/2025,08/24/2025,Amazon.com*S71P89DW3,Shopping,Sale,-155.39,,,,2025
8/22/2025,08/24/2025,7-11 STORE 40049,Automotive,Sale,-14,,,,2025
8/22/2025,08/24/2025,HARRIS TEETER #303,Groceries,Sale,-154,,,,2025
8/22/2025,08/24/2025,5GUYS 4002 QSR,Food & Drink,Sale,-36.15,,,,2025
8/22/2025,08/24/2025,DOLLAR TREE,Shopping,Sale,-9.95,,,,2025
8/22/2025,08/22/2025,Payment Thank You Bill Pa,,Payment,5167.8,,,,2025
8/21/2025,08/24/2025,THE HOME DEPOT #4648,Home,Sale,-48.13,,,,2025
8/21/2025,08/22/2025,EXTREME TACTICAL,Shopping,Sale,-953.94,,,,2025
8/20/2025,08/22/2025,TST*ASHTON AVENUE FAMILY,Food & Drink,Sale,-37.45,,,,2025
8/20/2025,08/21/2025,TEXAS ROADHOUSE #2719,Food & Drink,Sale,-66.72,,,,2025
8/20/2025,08/21/2025,LOWES #00397*,Home,Sale,-13.14,,,,2025
8/19/2025,08/21/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.38,,,,2025
8/19/2025,08/21/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
